Myindex,v[b],v[c],Time,Method,Tgt,Strain,K,BObj
167,0.17867,17.21657,9.563,M,60,iJO1366,3,EX_ac_e
168,0.17867,17.21656,16.654,M,70,iJO1366,3,EX_ac_e
169,0.1932,17.03363,9.894,M,80,iJO1366,3,EX_ac_e
170,0.24008,8.21823,9.319,M,90,iJO1366,3,EX_ac_e
171,0.07919,18.78185,62.759,O,10,iJO1366,3,EX_ac_e
172,0.07919,18.78186,59.719,O,20,iJO1366,3,EX_ac_e
173,0.07919,18.78207,58.649,O,30,iJO1366,3,EX_ac_e
174,0.12719,18.04407,40.822,O,40,iJO1366,3,EX_ac_e
175,0.12719,18.04364,39.69,O,50,iJO1366,3,EX_ac_e
176,0.17867,17.21654,30.725,O,60,iJO1366,3,EX_ac_e
177,0.17867,17.21654,30.663,O,70,iJO1366,3,EX_ac_e
178,0.19481,17.00354,17.868,O,80,iJO1366,3,EX_ac_e
179,0.24008,8.21816,19.226,O,90,iJO1366,3,EX_ac_e
180,0.04989,14.2993,75.5,P,10,iJO1366,3,EX_ac_e
181,0.04989,14.2993,72.77,P,20,iJO1366,3,EX_ac_e
182,0.15092,12.88032,71.954,P,30,iJO1366,3,EX_ac_e
183,0.15092,12.88031,57.962,P,40,iJO1366,3,EX_ac_e
184,0.15092,12.88032,47.922,P,50,iJO1366,3,EX_ac_e
185,0.15092,12.88032,33.504,P,60,iJO1366,3,EX_ac_e
186,0.21569,8.2501,26.98,P,70,iJO1366,3,EX_ac_e
187,0.21569,8.2501,20.599,P,80,iJO1366,3,EX_ac_e
188,0.24008,8.21816,9.12,P,90,iJO1366,3,EX_ac_e
189,0.07692,18.86292,27.116,M,10,iJO1366,3,EX_etoh_e
190,0.07692,18.86306,44.198,M,20,iJO1366,3,EX_etoh_e
191,0.07245,18.92899,12.369,M,30,iJO1366,3,EX_etoh_e
192,0.1705,17.33453,35.233,M,40,iJO1366,3,EX_etoh_e
193,0.1705,17.33453,31.176,M,50,iJO1366,3,EX_etoh_e
194,0.1705,17.33454,33.199,M,60,iJO1366,3,EX_etoh_e
