,M_Bio,M_Che,KO,KO_i,W_Bio,W_Che,Strain
24,0.9104503188692024,0.2108772769704875,SUCOAS,934,0.9219480950505711,0.0,iJR904
25,0.9061290519881277,0.3048023147857157,AKGDH,129,0.9219480950505711,0.0,iJR904
26,0.0,20.000000000436557,ICDHyr,562,0.9219480950505711,0.0,iJR904
27,0.0,20.000000000194024,CS,174,0.9219480950505711,0.0,iJR904
28,0.8814605051330854,0.8409863228483005,MDH,707,0.9219480950505711,0.0,iJR904
29,0.9219480950505694,0.0,MDH2,710,0.9219480950505711,0.0,iJR904
30,0.9219480950505694,0.0,MDH3,715,0.9219480950505711,0.0,iJR904
31,0.9219480950719315,0.0,ACALD,28,0.9219480950505711,0.0,iJR904
32,0.8855712275987517,0.0,GLCabcpp,1163,0.8855712275787295,0.0,iAF1260
33,0.8626847018428178,0.0,GLCptspp,1168,0.8855712275787295,0.0,iAF1260
34,0.885571227598745,0.0,HEX1,1347,0.8855712275787295,0.0,iAF1260
35,0.8734600819364853,0.0,PGI,1866,0.8855712275787295,0.0,iAF1260
36,0.8715880313982898,0.0,PFK,1880,0.8855712275787295,0.0,iAF1260
37,0.871588031431862,0.0,FBA,1005,0.8855712275787295,0.0,iAF1260
38,0.8107261199392356,0.0,TPI,2233,0.8855712275787295,0.0,iAF1260
39,0.6089244066228424,0.0,GAPD,1156,0.8855712275787295,0.0,iAF1260
40,0.6089244066228424,0.0,PGK,1867,0.8855712275787295,0.0,iAF1260
41,0.7120675937347283,0.0,PGM,1873,0.8855712275787295,0.0,iAF1260
42,0.7120675937347573,0.0,ENO,696,0.8855712275787295,0.0,iAF1260
43,0.885571227578999,0.0,PYK,2116,0.8855712275787295,0.0,iAF1260
44,0.8855712275971463,0.0,LDH_D,1466,0.8855712275787295,0.0,iAF1260
45,0.8855712275987406,0.0,PFL,1886,0.8855712275787295,0.0,iAF1260
46,0.885571227599543,0.0,ALCD2x,239,0.8855712275787295,0.0,iAF1260
47,0.8773772758089516,0.0,PTAr,2072,0.8855712275787295,0.0,iAF1260
48,0.8773772758089516,0.0,ACKr,89,0.8855712275787295,0.0,iAF1260
49,0.8677202146499675,0.0,G6PDH2r,1144,0.8855712275787295,0.0,iAF1260
50,0.8677202146499675,0.0,PGL,1868,0.8855712275787295,0.0,iAF1260
51,0.8677202146698486,0.0,GND,1252,0.8855712275787295,0.0,iAF1260
52,0.3127044622935711,0.0,RPI,2105,0.8855712275787295,0.0,iAF1260
53,0.8714987971207687,0.0,RPE,2104,0.8855712275787295,0.0,iAF1260
54,0.869673727726206,0.0,TKT1,2208,0.8855712275787295,0.0,iAF1260
55,0.8696737277261988,0.0,TALA,2240,0.8855712275787295,0.0,iAF1260
56,0.8733315426885316,0.0,TKT2,2209,0.8855712275787295,0.0,iAF1260
57,0.8176329424558337,0.8509228677538375,FUM,1072,0.8855712275787295,0.0,iAF1260
58,0.8855712276788889,0.0,FRD2,1038,0.8855712275787295,0.0,iAF1260
59,0.8800377370402758,0.0,SUCOAS,2220,0.8855712275787295,0.0,iAF1260
60,0.8776155828454651,0.0,AKGDH,202,0.8855712275787295,0.0,iAF1260
61,0.0,0.0,ACONTa,154,0.8855712275787295,0.0,iAF1260
62,0.0,0.0,ACONTb,155,0.8855712275787295,0.0,iAF1260
63,0.0,0.0,ICDHyr,1369,0.8855712275787295,0.0,iAF1260
64,0.0,0.0,CS,435,0.8855712275787295,0.0,iAF1260
65,0.8571149581985124,0.0,MDH,1613,0.8855712275787295,0.0,iAF1260
66,0.8855712276309864,0.0,MDH2,1614,0.8855712275787295,0.0,iAF1260
67,0.8855712275912833,0.0,MDH3,1615,0.8855712275787295,0.0,iAF1260
68,0.8855712275987454,0.0,ACALD,109,0.8855712275787295,0.0,iAF1260
69,0.24150183336434627,0.08004916369427968,GLCabcpp,1287,0.2415018333643685,0.08004916369429657,iJO1366
70,0.1309746785065205,0.04341339083653403,GLCptspp,1291,0.2415018333643685,0.08004916369429657,iJO1366
71,0.24150183336434594,0.08004916369424835,HEX1,1451,0.2415018333643685,0.08004916369429657,iJO1366
72,0.16225543076738114,0.053781834103879225,PGI,2062,0.2415018333643685,0.08004916369429657,iJO1366
73,0.24150183336436828,0.08004916369429636,PFK,2074,0.2415018333643685,0.08004916369429657,iJO1366
74,0.24150183336434594,0.08004916369424835,FBA,1216,0.2415018333643685,0.08004916369429657,iJO1366
75,0.1529241542005753,0.05068885184798522,TPI,2412,0.2415018333643685,0.08004916369429657,iJO1366
76,-200.0,-200.0,GAPD,1318,0.2415018333643685,0.08004916369429657,iJO1366
77,-200.0,-200.0,PGK,2064,0.2415018333643685,0.08004916369429657,iJO1366
78,-200.0,-200.0,PGM,2067,0.2415018333643685,0.08004916369429657,iJO1366
79,-200.0,-200.0,ENO,1092,0.2415018333643685,0.08004916369429657,iJO1366
