,M_B,M_C,KO,KO_i,FBA_B,FBA_C,Strain,FVA_B,FVA_C,tgt,Che,Che_i,K
518,0.0,20.0,"['RPE', 'TKT2']","[1002, 1006]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
519,0.9189654937126044,0.025795415726392285,"['PFL', 'PTAr']","[770, 905]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.213866528401704,50,EX_ac_e,288,2
520,0.0,20.0,"['TKT1', 'TKT2']","[1005, 1006]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
521,0.6244512959831823,6.427218405814148,"['PGK', 'TKT2']","[781, 1006]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.75477968017907,50,EX_ac_e,288,2
522,0.7806280628629882,1.6004080366419657,"['PGL', 'FUM']","[782, 358]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.819941956629737,50,EX_ac_e,288,2
523,0.9059834155779326,0.3079678038732848,"['PGI', 'LDH_D']","[779, 620]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.714632567350968,50,EX_ac_e,288,2
524,0.5986592626032189,6.9878219915968565,"['PGK', 'MDH']","[781, 707]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.736400466324026,50,EX_ac_e,288,2
525,0.6250126845199846,6.415016326887078,"['PFK', 'GAPD']","[888, 427]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.833411440812771,50,EX_ac_e,288,2
526,0.9189654937125981,0.02579541572637955,"['ACKr', 'FRD2']","[43, 344]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.303077693784974,50,EX_ac_e,288,2
527,0.614912504758303,6.634549114877942,"['GAPD', 'ENO']","[427, 260]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.587802962682737,50,EX_ac_e,288,2
528,0.9219480950719274,0.0,"['PYK', 'ACALD']","[852, 28]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860702777505,50,EX_ac_e,288,2
529,0.7452932943780892,3.8006531921259885,"['PGM', 'PFL']","[784, 770]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.61960018529521,50,EX_ac_e,288,2
530,0.5321873686226166,8.383747666546435,"['PGK', 'PGL']","[781, 782]",0.9219480950505711,0.0,iJR,0.46097404752528554,11.256390217682377,50,EX_ac_e,288,2
531,0.9219480950719278,0.0,"['HEX1', 'MDH3']","[496, 715]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860701355485,50,EX_ac_e,288,2
532,0.9014927680267778,0.32278087010353285,"['GND', 'FRD2']","[540, 344]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860703454034,50,EX_ac_e,288,2
533,0.5637192205594097,0.3229316289704425,"['GAPD', 'PTAr']","[427, 905]",0.9219480950505711,0.0,iJR,0.46097404752528554,10.961374983241122,50,EX_ac_e,288,2
534,0.0,20.0,"['ICDHyr', 'MDH3']","[562, 715]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
535,0.584807363916324,6.215949202357949,"['GAPD', 'FUM']","[427, 358]",0.9219480950505711,0.0,iJR,0.46097404752528554,11.737612440680131,50,EX_ac_e,288,2
536,0.7183898523977426,4.319436552702142,"['ENO', 'TKT1']","[260, 1005]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.42895140117148,50,EX_ac_e,288,2
537,0.8860546030158399,0.6597554605002127,"['PFK', 'PGL']","[888, 782]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.45202491297202,50,EX_ac_e,288,2
538,0.845843219932986,0.06327103504192066,"['PFL', 'FUM']","[770, 358]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.722973292688788,50,EX_ac_e,288,2
539,0.6250126845196772,6.415016326893673,"['PGK', 'LDH_D']","[781, 620]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.833411436750342,50,EX_ac_e,288,2
540,0.8445864997823835,1.6424624857111645,"['TPI', 'LDH_D']","[1033, 620]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.18955805580294,50,EX_ac_e,288,2
541,0.8199080324297101,2.178862104881703,"['HEX1', 'TPI']","[496, 1033]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.959052290850254,50,EX_ac_e,288,2
542,0.8123551544994478,0.8525928246780115,"['TPI', 'FUM']","[1033, 358]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.4531199581091,50,EX_ac_e,288,2
543,0.9084959669900223,0.1699194327965836,"['HEX1', 'RPE']","[496, 1002]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.328412961041307,50,EX_ac_e,288,2
544,0.7111507077075936,0.40738908326666295,"['PGM', 'PTAr']","[784, 905]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.318270279559533,50,EX_ac_e,288,2
545,0.624806446887752,6.419499011696651,"['PGK', 'TKT1']","[781, 1005]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.811983853747355,50,EX_ac_e,288,2
546,0.0,20.000000000436557,"['CS', 'MDH2']","[174, 710]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
547,0.8247900951852034,0.0,"['GND', 'TALA']","[540, 941]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.548639867412561,50,EX_ac_e,288,2
548,0.7886763724630523,1.4107074357018827,"['TALA', 'FUM']","[941, 358]",0.9219480950505711,0.0,iJR,0.46097404752528554,12.934047358798036,50,EX_ac_e,288,2
549,0.8429711529937521,0.1969743603247285,"['PTAr', 'FUM']","[905, 358]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.655472449355468,50,EX_ac_e,288,2
550,0.9014927680634559,0.3227808701720048,"['G6PDH2r', 'FRD2']","[393, 344]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860701762615,50,EX_ac_e,288,2
551,3.403956778565345e-10,19.99999999547973,"['RPI', 'AKGDH']","[1013, 129]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
552,0.9014927680634559,0.3227808701720048,"['PGL', 'FRD2']","[782, 344]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860701762615,50,EX_ac_e,288,2
553,0.9044655630169739,0.3409591342339227,"['PGI', 'AKGDH']","[779, 129]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.714632568320003,50,EX_ac_e,288,2
554,0.9189654937126011,0.02579541572638629,"['ACKr', 'MDH3']","[43, 715]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.303077692059837,50,EX_ac_e,288,2
555,0.8860546029930474,0.6597554605896826,"['FBA', 'G6PDH2r']","[776, 393]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.452024922027967,50,EX_ac_e,288,2
556,0.9014927680493723,0.3227808700177567,"['GND', 'ACALD']","[540, 28]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860696910583,50,EX_ac_e,288,2
557,0.906132890101669,0.2214991940572984,"['TALA', 'MDH3']","[941, 715]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.417334854857751,50,EX_ac_e,288,2
558,0.9014927680493721,0.32278087001774136,"['HEX1', 'PGL']","[496, 782]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.523860700191937,50,EX_ac_e,288,2
559,1.2272329941696682e-10,19.999999998411887,"['G6PDH2r', 'RPI']","[393, 1013]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
560,0.0,20.00000000029104,"['PGI', 'ICDHyr']","[779, 562]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
561,0.8981017636260065,0.47927970431080746,"['FBA', 'AKGDH']","[776, 129]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.452024919831645,50,EX_ac_e,288,2
562,0.9043244828703605,0.34402558594431376,"['ACKr', 'TALA']","[43, 941]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.417334854722586,50,EX_ac_e,288,2
563,1.341808688646084e-10,19.9999999979243,"['PGM', 'RPI']","[784, 1013]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
564,0.0,20.00000000029104,"['FRD2', 'CS']","[344, 174]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
565,0.901659259723068,0.4019556313851903,"['PFK', 'SUCOAS']","[888, 934]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.452024922662877,50,EX_ac_e,288,2
566,0.8458432199627769,0.06327103518371008,"['FUM', 'MDH3']","[358, 715]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.819941956094146,50,EX_ac_e,288,2
567,0.0,20.00000000029104,"['TPI', 'ICDHyr']","[1033, 562]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
568,0.5321873686226166,8.383747666546435,"['GAPD', 'G6PDH2r']","[427, 393]",0.9219480950505711,0.0,iJR,0.46097404752528554,11.256390217682377,50,EX_ac_e,288,2
569,0.0,20.0,"['RPI', 'MDH3']","[1013, 715]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
570,0.9084550142311596,0.25424628627679324,"['ACKr', 'TKT2']","[43, 1006]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.22787452166852,50,EX_ac_e,288,2
571,0.5321873686226166,8.383747666546435,"['PGK', 'G6PDH2r']","[781, 393]",0.9219480950505711,0.0,iJR,0.46097404752528554,11.256390217682377,50,EX_ac_e,288,2
572,0.0,0.0,"['PGM', 'ICDHyr']","[784, 562]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
573,0.9079406998570874,0.26542518363492446,"['ACKr', 'SUCOAS']","[43, 934]",0.9219480950505711,0.0,iJR,0.46097404752528554,14.303077695353082,50,EX_ac_e,288,2
574,1.304665715868383e-10,19.99999999819505,"['RPI', 'FUM']","[1013, 358]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
575,0.0,20.0,"['HEX1', 'RPI']","[496, 1013]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
576,0.0,20.00000000023283,"['TKT1', 'TALA']","[1005, 941]",0.9219480950505711,0.0,iJR,-200.0,-200.0,50,EX_ac_e,288,2
577,0.8938727780849172,0.5584545666330182,"['PGL', 'TKT1']","[782, 1005]",0.9219480950505711,0.0,iJR,0.46097404752528554,13.428951400473718,50,EX_ac_e,288,2
578,0.8981017636007239,0.4792797044237779,"['PFK', 'AKGDH']","[888, 129]",0.9219480950505711,0.0,iJR,0.46097404752528554,15.45202491925508,50,EX_ac_e,288,2
