C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio
0.24008605,0.250371728,P,1.161000013,60,iJO,1,['FUM'],[1165],0.1449011,9.815300153,0.24008605,0.250371336,0.1449011,7.081261106,1261,212.7724469,99.41375876
0.24008605,0.250371838,P,4.140000105,60,iJO,2,"['AKGDH', 'FUM']","[577, 1165]",0.1449011,9.815300153,0.24008605,0.250371336,0.1449011,7.081261106,1262,212.772584,99.41375876
0.24008605,0.250371997,P,34.66199994,60,iJO,3,"['FUM', 'HEX1', 'SUCOAS']","[1165, 1451, 2371]",0.1449011,9.815300153,0.24008605,0.250371336,0.1449011,7.081261106,1263,212.772783,99.41375876
0.24008605,0.250371633,P,1.210000038,70,iJO,1,['FUM'],[1165],0.169051283,8.721553883,0.24008605,0.250371336,0.169051283,5.34813816,1271,212.7723287,99.41375876
0.24008605,0.25037203,P,3.180999994,70,iJO,2,"['FUM', 'LDH_D']","[1165, 1626]",0.169051283,8.721553883,0.24008605,0.250371336,0.169051283,5.34813816,1272,212.7728243,99.41375876
0.24008605,0.250372094,P,20.48300004,70,iJO,3,"['FUM', 'FBA', 'PYK']","[1165, 1216, 2239]",0.169051283,8.721553883,0.24008605,0.250371336,0.169051283,5.34813816,1273,212.7729045,99.41375876
0.240086055,0.250371336,P,1.067000151,80,iJO,1,['FUM'],[1165],0.193201467,5.890705998,0.24008605,0.250371336,0.193201467,3.61501504,1281,212.7719577,99.41376089
0.24008605,0.250371336,P,2.437999964,80,iJO,2,"['FUM', 'HEX1']","[1165, 1451]",0.193201467,5.890705998,0.24008605,0.250371336,0.193201467,3.61501504,1282,212.7719577,99.41375876
0.24008605,0.250371688,P,9.704999924,80,iJO,3,"['FRD2', 'FUM', 'MDH2']","[1143, 1165, 1757]",0.193201467,5.890705998,0.24008605,0.250371336,0.193201467,3.61501504,1283,212.7723972,99.41375876
0.240086053,0.250371336,P,0.980000019,90,iJO,1,['FUM'],[1165],0.21735165,2.985377581,0.24008605,0.250371336,0.21735165,1.88189192,1291,212.7719577,99.41375988
0.24008605,0.250371861,P,1.598999977,90,iJO,2,"['FUM', 'PGL']","[1165, 2065]",0.21735165,2.985377581,0.24008605,0.250371336,0.21735165,1.88189192,1292,212.7726126,99.41375876
0.24008605,0.250371336,P,5.286000013,90,iJO,3,"['FUM', 'GND', 'HEX1']","[1165, 1445, 1451]",0.21735165,2.985377581,0.24008605,0.250371336,0.21735165,1.881891659,1293,212.7719577,99.41375876
0.817632942,0.850922868,P,7.375,10,iAF,1,"['FUM', 'PFL']","[1072, 1886]",0.088557123,15.13316354,0.817632942,0.850922868,0.088557123,14.86185472,3211,inf,92.32830934
0.817632942,0.850922868,P,8.471000195,10,iAF,2,"['FUM', 'PFL']","[1072, 1886]",0.088557123,15.13316354,0.817632942,0.850922868,0.088557123,14.86185472,3212,inf,92.32830934
0.817632942,0.850922868,P,8.529999971,10,iAF,3,"['FUM', 'PFL']","[1072, 1886]",0.088557123,15.13316354,0.817632942,0.850922868,0.088557123,14.86185472,3213,inf,92.32830934
0.817632942,0.850922868,P,9.23300004,20,iAF,1,"['ALCD2x', 'FUM']","[239, 1072]",0.177114246,13.54418423,0.817632942,0.850922868,0.177114246,13.31295314,3221,inf,92.32830934
