,C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
23,0.0724505400264661,2.357417887313531,M,72.12900018692017,30,iJO,2,"['ACALD', 'GLCptspp']",0.0724505500093105,13.017483830080796,0.0791948179616562,0.0262502311408424,0.0724505500093105,2.357411638587067
24,0.1172941307343881,2.3130814544442164,O,61.18600010871887,30,iJO,3,"['MDH3', 'PFL', 'RPI']",0.0724505500093105,13.017483830080796,0.1172941307343941,2.3130808418514417,0.0724505500093105,10.557287725423706
25,0.2415018320297183,0.0800491632518985,P,1.2630000114440918,30,iJO,3,"['AKGDH', 'HEX1', 'MDH3']",0.0724505500093105,13.017483830080796,0.2415018320297433,0.0800491632519068,0.0724505500093105,13.01748383330165
26,0.1125155922308236,9.114028901412889,M,41.98699998855591,30,iJO,3,"['ACALD', 'LDH_D', 'PFL']",0.0724505500093105,13.017483830080796,0.1125568967589236,9.10912662571434,0.0724505500093105,13.016428924311215
27,0.2400860500268499,0.2503851495034576,O,1.1600000858306885,40,iJO,1,['FUM'],0.0966007333457474,12.00279269491848,0.2400860500268259,0.2503713364099685,0.0966007333457474,9.838782934423572
28,0.2415018320297185,0.0800491632518986,P,0.4839999675750732,40,iJO,1,['MDH2'],0.0966007333457474,12.00279269491848,0.2415018360335943,0.0800491645790393,0.0966007333457474,12.002792716386743
29,0.2400778292048918,0.2509616465835199,M,21.70300006866455,40,iJO,1,['FUM'],0.0966007333457474,12.00279269491848,0.2400860500268264,0.2503713364099743,0.0966007333457474,9.83878296954856
30,0.1172941307344489,2.3130815614200806,O,5.531000137329102,40,iJO,2,"['PFL', 'RPI']",0.0966007333457474,12.00279269491848,0.1172941307343918,0.0388787817497471,0.0966007333457474,7.850459574175791
31,0.2415018320297183,0.0800491632518985,P,0.5999999046325684,40,iJO,2,"['HEX1', 'MDH2']",0.0966007333457474,12.00279269491848,0.2415018360335954,0.0800491645790396,0.0966007333457474,12.002792716386743
32,0.1172938086074924,2.3135894850034644,M,36.91700005531311,40,iJO,2,"['PFL', 'RPI']",0.0966007333457474,12.00279269491848,0.1172941307343955,0.0388787817497456,0.0966007333457474,7.850459574038837
33,0.1125568967589232,9.109126904088894,O,37.38299989700317,40,iJO,3,"['ALCD2x', 'LDH_D', 'PFL']",0.0966007333457474,12.00279269491848,0.1125568967589241,9.109126625714303,0.0966007333457474,11.002703357342916
34,0.2415018320297183,0.0800491632518985,P,0.6760001182556152,40,iJO,3,"['AKGDH', 'HEX1', 'MDH3']",0.0966007333457474,12.00279269491848,0.2415018320297433,0.0800491632519068,0.0966007333457474,12.002792673457536
35,0.1125567704072644,9.109334851985738,M,22.028000116348267,40,iJO,3,"['ALCD2x', 'LDH_D', 'PFL']",0.0966007333457474,12.00279269491848,0.1125568967589241,9.109126625714303,0.0966007333457474,11.002703357342916
36,0.2400860500268512,0.2503717959062685,O,1.1099998950958252,50,iJO,1,['FUM'],0.1207509166821842,10.909046424222058,0.2400860500268259,0.2503713364099685,0.1207509166821842,8.81438425521218
37,0.2415018320297184,0.0800491632518986,P,0.4309999942779541,50,iJO,1,['PYK'],0.1207509166821842,10.909046424222058,0.2415018320297188,0.0800491632518987,0.1207509166821842,10.909046451044484
