C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
0.9219480947358534,0.0,P,0.17400002479553223,50,iJR,2,"['ACALD', 'MDH2']",0.46097404752528554,15.523860701425512,0.921948095071929,0.0,0.46097404752528554,15.523860706285339
0.5321862508767928,8.38667936296616,M,3.05400013923645,50,iJR,2,"['PGK', 'PGL']",0.46097404752528554,15.523860701425512,0.5321873686226092,8.383747666546396,0.46097404752528554,11.256390217841599
0.460974030662328,15.523935427585185,O,0.26199984550476074,50,iJR,3,"['CS', 'MDH3', 'PYK']",0.46097404752528554,15.523860701425512,0.4609740142812478,9.96319769059199,0.46097404752528554,15.523860705245959
0.9219480945612304,0.0,P,0.16000008583068848,50,iJR,3,"['MDH2', 'MDH3', 'PFL']",0.46097404752528554,15.523860701425512,0.9219480950724699,0.0,0.46097404752528554,15.426892046792934
0.460974030662328,13.328453344402797,M,1.8859999179840088,50,iJR,3,"['GND', 'PYK', 'RPE']",0.46097404752528554,15.523860701425512,0.46099603571870795,9.980358921970153,0.46097404752528554,13.328613026259905
0.5531688415212557,13.021762902365944,O,0.22799992561340332,60,iJR,1,['CS'],0.5531688570303426,13.021676327518835,0.5531688287465761,7.978516896327612,0.5531688570303426,13.021676332529848
0.9219480950724633,0.0,P,0.15199995040893555,60,iJR,1,['MDH3'],0.5531688570303426,13.021676327518835,0.9219480950724673,0.0,0.5531688570303426,13.02167633032705
0.6250126844973316,6.415021227033541,M,1.6959998607635498,60,iJR,1,['GAPD'],0.5531688570303426,13.021676327518835,0.6250126846007271,6.415016327081145,0.5531688570303426,9.320823089549979
0.5531687656912255,13.021766714837067,O,0.33100008964538574,60,iJR,2,"['AKGDH', 'CS']",0.5531688570303426,13.021676327518835,0.5531687490818511,7.978518629236515,0.5531688570303426,13.02167633518158
0.9219480950724698,0.0,P,0.16499996185302734,60,iJR,2,"['ACALD', 'MDH2']",0.5531688570303426,13.021676327518835,0.921948095071929,0.0,0.5531688570303426,13.02167632794473
0.5531688415212557,10.846696475529571,M,2.7190001010894775,60,iJR,2,"['PGM', 'TALA', 'RPE']",0.5531688570303426,13.021676327518835,0.7264790102685025,4.142871485030514,0.5531688570303426,10.846586646409886
0.5531688415212557,13.021764150870432,O,0.24299979209899902,60,iJR,3,"['CS', 'G6PDH2r', 'MDH3']",0.5531688570303426,13.021676327518835,0.5531688249729847,7.976580888703973,0.5531688570303426,13.021676331585285
0.9219480946776457,0.0,P,0.1640000343322754,60,iJR,3,"['MDH2', 'MDH3', 'PFL']",0.5531688570303426,13.021676327518835,0.9219480950724699,0.0,0.5531688570303426,12.905313943375514
0.5531688415212557,12.4090687930848,M,2.117000102996826,60,iJR,3,"['GND', 'PGI', 'RPE']",0.5531688570303426,13.021676327518835,0.8223115091848487,2.126621261852163,0.5531688570303426,12.40898765398877
0.6453636523801833,10.435412618190004,O,0.1770000457763672,70,iJR,1,['CS'],0.6453636665353997,10.435300950772893,0.6453636156924811,5.9749367684236345,0.6453636665353997,10.435300781148431
0.9219480950724633,0.0,P,0.1490001678466797,70,iJR,1,['MDH3'],0.6453636665353997,10.435300950772893,0.9219480950724673,0.0,0.6453636665353997,10.435300957759042
0.745290478812457,3.800804595472766,M,1.8029999732971191,70,iJR,1,['ENO'],0.6453636665353997,10.435300950772893,0.7452932946305163,3.8006531937564345,0.6453636665353997,7.639413644150575
0.6453636523801833,10.435412508216771,O,0.23800015449523926,70,iJR,2,"['CS', 'MDH2']",0.6453636665353997,10.435300950772893,0.6453636156924819,5.9749367685491235,0.6453636665353997,10.43530095808218
0.9219480950724699,0.0,P,0.1699998378753662,70,iJR,2,"['MDH3', 'PFL']",0.6453636665353997,10.435300950772893,0.9219480950724701,0.0,0.6453636665353997,10.383735826046651
0.6453636523801833,10.367022192970662,M,1.758000135421753,70,iJR,2,"['G6PDH2r', 'GND', 'RPE']",0.6453636665353997,10.435300950772893,0.6453793654941259,5.963214841698919,0.6453636665353997,10.367087483208891
0.6453636523801833,10.435411121660145,O,0.18999981880187988,70,iJR,3,"['CS', 'MDH3', 'PYK']",0.6453636665353997,10.435300950772893,0.645363641558443,5.948476297125403,0.6453636665353997,10.43530095515289
0.9219480950725968,0.0,P,0.1550002098083496,70,iJR,3,"['MDH3', 'PFL', 'PYK']",0.6453636665353997,10.435300950772893,0.9219480950724699,0.0,0.6453636665353997,10.383735821147438
0.6467456971274057,5.884322261607683,M,7.325999975204468,70,iJR,3,"['ENO', 'HEX1', 'TKT2']",0.6453636665353997,10.435300950772893,0.6467456989046504,5.883240422165993,0.6453636665353997,5.99586844814397
0.737558463239111,7.284473815850877,O,0.2929999828338623,80,iJR,1,['ICDHyr'],0.7375584760404569,7.284326889015266,0.7375584519556301,3.96877411247909,0.7375584760404569,7.284326896465976
0.9219480950724633,0.0,P,0.15799999237060547,80,iJR,1,['MDH3'],0.7375584760404569,7.284326889015266,0.9219480950724673,0.0,0.7375584760404569,7.284326906415528
0.745293294357106,3.8006607560102843,M,1.815999984741211,80,iJR,1,['PGM'],0.7375584760404569,7.284326889015266,0.7452932943821795,3.8006531919082214,0.7375584760404569,4.110465814811838
0.737558463239111,7.284472523829825,O,0.28800010681152344,80,iJR,2,"['CS', 'MDH2']",0.7375584760404569,7.284326889015266,0.7375584504881217,0.0,0.7375584760404569,7.284326906662419
0.9219480950724699,0.0,P,0.18399977684020996,80,iJR,2,"['MDH3', 'PFL']",0.7375584760404569,7.284326889015266,0.9219480950724701,0.0,0.7375584760404569,7.284326908679223
0.737558463239111,7.024218923410976,M,2.5320000648498535,80,iJR,2,"['TALA', 'RPE']",0.7375584760404569,7.284326889015266,0.7375584105240137,3.9687750138403888,0.7375584760404569,7.024156934268104
0.737558463239111,7.284473620601142,O,0.30500006675720215,80,iJR,3,"['CS', 'MDH3', 'PYK']",0.7375584760404569,7.284326889015266,0.7375584520701646,3.9687741108627295,0.7375584760404569,7.284326909463113
0.9219480950725967,0.0,P,0.16000008583068848,80,iJR,3,"['MDH3', 'PFL', 'PYK']",0.7375584760404569,7.284326889015266,0.9219480950724699,0.0,0.7375584760404569,7.284326908679223
0.737558463239111,3.9228214575169202,M,6.108999967575073,80,iJR,3,"['G6PDH2r', 'TALA', 'TPI']",0.7375584760404569,7.284326889015266,0.7375839741267919,3.90047929903598,0.7375584760404569,3.9214041820144185
0.8445864990219804,1.6427132997846607,O,0.37999987602233887,90,iJR,1,['TPI'],0.829753285545514,3.7271028017929537,0.8445864994188226,1.6424624841616642,0.829753285545514,2.2477236335247457
