,C_Bio,C_Chel,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,IC_Bio,IC_Che
23,0.84459,1.64246,P,0.359,0.9,iJR904,1,['TPI'],0.82975,3.7271,0.84459,1.64246
24,0.74529,3.80065,P,0.357,0.8,iJR904,1,['ENO'],0.73756,7.28433,0.74529,3.80065
25,0.74529,3.80065,P,0.396,0.7,iJR904,1,['ENO'],0.64536,10.4353,0.74529,3.80065
26,0.62501,6.41502,P,0.391,0.6,iJR904,1,['PGK'],0.55317,13.02168,0.62501,6.41502
27,0.62501,6.41502,P,0.426,0.5,iJR904,1,['PGK'],0.46097,15.52386,0.62501,6.41502
28,0.62501,6.41502,P,0.448,0.4,iJR904,1,['GAPD'],0.36878,18.02605,0.62501,6.41502
29,0.84459,1.64246,P,0.278,0.3,iJR904,1,['TPI'],0.27658,20.5049,0.84459,1.64246
30,0.84459,1.64246,P,0.283,0.2,iJR904,1,['TPI'],0.18439,22.87756,0.84459,1.64246
31,0.84459,1.64246,P,0.321,0.1,iJR904,1,['TPI'],0.09219,25.18522,0.84459,1.64246
32,0.62501,6.41502,P,0.45,1.4e-16,iJR904,1,['GAPD'],0.0,27.49286,0.62501,6.41502
0,0.88557,7e-05,M,1.86,1.0,iAF1260,2,"['PFL', 'PYK']",0.88557,0.0,0.88557,0.0
1,0.79701,2.33059,M,8.793,0.9,iAF1260,2,"['TKT1', 'TKT2']",0.79701,2.39767,1.0,2000.0
2,0.70846,3.94949,M,7.659,0.8,iAF1260,2,"['TKT1', 'TKT2']",0.70846,3.99242,1.0,2000.0
3,0.69682,4.13915,M,14.311,0.7,iAF1260,2,"['RPE', 'TALA']",0.6199,5.5851,0.8457,0.0
4,0.53134,7.15097,M,8.483,0.6,iAF1260,2,"['RPE', 'TKT2']",0.53134,7.17777,1.0,2000.0
5,0.44279,8.75576,M,5.531,0.5,iAF1260,2,"['RPE', 'TKT2']",0.44279,8.77044,1.0,2000.0
6,0.35423,10.36267,M,6.545,0.4,iAF1260,2,"['GND', 'TKT2']",0.35423,10.36312,1.0,2000.0
7,0.26567,11.95525,M,6.542,0.3,iAF1260,2,"['GND', 'RPE']",0.26567,11.9552,0.26567,0.0
8,0.17711,7.31885,M,10.062,0.2,iAF1260,2,"['RPE', 'RPI']",0.17711,13.54418,1.0,2000.0
9,0.08856,15.13321,M,4.651,0.1,iAF1260,2,"['GND', 'TKT2']",0.08856,15.13316,1.0,2000.0
10,0.0,16.72215,M,1.732,1.4e-16,iAF1260,2,"['ICDHyr', 'PYK']",0.0,16.72214,0.0,0.0
11,0.88557,0.00012,O,0.312,1.0,iAF1260,2,"['PFL', 'PYK']",0.88557,0.0,0.88557,0.0
12,0.81763,0.85092,O,15.063,0.9,iAF1260,2,"['FUM', 'HEX1']",0.79701,2.39767,0.81763,0.85092
13,0.81763,0.85092,O,15.41,0.8,iAF1260,2,"['FUM', 'HEX1']",0.70846,3.99242,0.81763,0.85092
14,0.6199,5.54617,O,14.096,0.7,iAF1260,2,"['RPE', 'TKT2']",0.6199,5.5851,0.6199,0.0
15,0.53134,7.13658,O,7.12,0.6,iAF1260,2,"['PGL', 'RPI']",0.53134,7.17777,0.66382,0.0
16,0.81763,0.85092,O,21.541,0.5,iAF1260,2,"['AKGDH', 'FUM']",0.44279,8.77044,0.81763,0.85092
17,0.35423,10.36266,O,5.276,0.4,iAF1260,2,"['GND', 'TKT2']",0.35423,10.36312,0.35423,0.0
18,0.81763,0.85092,O,23.775,0.3,iAF1260,2,"['FUM', 'GLCabcpp']",0.26567,11.9552,0.81763,0.85092
19,0.17711,7.31887,O,22.365,0.2,iAF1260,2,"['RPI', 'TKT2']",0.17711,13.54418,1.0,2000.0
20,0.08856,15.13321,O,3.501,0.1,iAF1260,2,"['RPE', 'RPI']",0.08856,15.13316,1.0,2000.0
21,0.0,16.72215,O,1.579,1.4e-16,iAF1260,2,"['AKGDH', 'ICDHyr']",0.0,16.72214,0.0,0.0
22,0.88557,0.00012,P,0.437,1.0,iAF1260,2,"['FRD2', 'HEX1']",0.88557,0.0,0.88557,0.0
23,0.87159,0.00015,P,1.307,0.9,iAF1260,2,"['PFK', 'PFL']",0.79701,2.39767,0.87159,0.0
24,0.70846,3.99248,P,0.601,0.8,iAF1260,2,"['FRD2', 'HEX1']",0.70846,3.99242,0.88557,0.0
25,0.6199,5.58515,P,0.663,0.7,iAF1260,2,"['FRD2', 'HEX1']",0.6199,5.5851,0.88557,0.0
26,0.53134,7.17783,P,0.758,0.6,iAF1260,2,"['FRD2', 'TKT2']",0.53134,7.17777,0.87654,0.0
27,0.84683,1.15962,P,0.777,0.5,iAF1260,2,"['G6PDH2r', 'TKT1']",0.44279,8.77044,0.86952,0.0
28,0.88557,0.0,P,0.377,0.4,iAF1260,2,"['GLCabcpp', 'PYK']",0.35423,10.36312,0.88557,0.0
29,0.81763,0.85092,P,6.694,0.3,iAF1260,2,"['AKGDH', 'FUM']",0.26567,11.9552,0.81763,0.85092
30,0.81763,0.85092,P,8.482,0.2,iAF1260,2,"['AKGDH', 'FUM']",0.17711,13.54418,0.81763,0.85092
