,Biomass,Chemical,Method,Time,Tgt,Strain,K,Strategy
15,0.18311,1.41479,C,12.851,0.6,iJO1366,2,"['PFL', 'TKT2']"
16,0.18311,1.41479,C,12.959,0.5,iJO1366,2,"['PFL', 'TKT2']"
17,0.11729,2.31308,C,18.217,0.4,iJO1366,2,"['PFL', 'RPI']"
18,0.11729,2.31308,C,14.821,0.3,iJO1366,2,"['PFL', 'RPI']"
19,0.0531,8.97926,C,16.391,0.2,iJO1366,2,"['GLCptspp', 'PYK']"
20,0.0531,8.97926,C,18.523,0.1,iJO1366,2,"['GLCptspp', 'PYK']"
21,-0.0,15.76889,C,1.424,1.4e-16,iJO1366,2,"['ICDHyr', 'MDH3']"
22,0.2415,0.08015,P,0.481,1.0,iJO1366,2,"['HEX1', 'PGL']"
23,0.24009,0.25037,P,1.676,0.9,iJO1366,2,"['FUM', 'PYK']"
24,0.24009,0.25037,P,2.032,0.8,iJO1366,2,"['FUM', 'HEX1']"
25,0.24009,0.25037,P,3.118,0.7,iJO1366,2,"['FUM', 'MDH3']"
26,0.24009,0.25037,P,3.722,0.6,iJO1366,2,"['FUM', 'G6PDH2r']"
27,0.24009,0.25037,P,4.884,0.5,iJO1366,2,"['FUM', 'MDH2']"
28,0.24009,0.25037,P,4.111,0.4,iJO1366,2,"['FRD2', 'FUM']"
29,0.24009,0.25037,P,4.236,0.3,iJO1366,2,"['FUM', 'MDH3']"
30,0.24009,0.25037,P,4.652,0.2,iJO1366,2,"['FUM', 'MDH2']"
31,0.24009,0.25037,P,4.717,0.1,iJO1366,2,"['FUM', 'PFK']"
32,0.24009,0.25037,P,10.921,1.4e-16,iJO1366,2,"['FRD2', 'FUM']"
0,0.92195,1e-05,M,0.848,1.0,iJR904,2,"['ACALD', 'PYK']"
1,0.83255,1.90414,M,2.967,0.9,iJR904,2,"['PGI', 'TKT1']"
2,0.73756,6.9555,M,2.307,0.8,iJR904,2,"['GND', 'RPE']"
3,0.66986,5.3787,M,3.632,0.7,iJR904,2,"['HEX1', 'PGM']"
4,0.5598,7.83264,M,3.666,0.6,iJR904,2,"['GAPD', 'HEX1']"
5,0.53219,8.38574,M,2.977,0.5,iJR904,2,"['PGK', 'PGL']"
6,0.53218,8.38881,M,2.745,0.4,iJR904,2,"['G6PDH2r', 'PGK']"
7,0.53218,8.38994,M,3.253,0.3,iJR904,2,"['G6PDH2r', 'GAPD']"
8,0.18439,22.87759,M,0.715,0.2,iJR904,2,"['ICDHyr', 'PFL']"
9,0.09219,25.18523,M,1.115,0.1,iJR904,2,"['CS', 'PGL']"
10,0.0,27.49286,M,1.226,1.4e-16,iJR904,2,"['CS', 'PFL']"
11,0.92195,1e-05,C,0.155,1.0,iJR904,2,"['ACALD', 'FRD2']"
12,0.82975,3.38797,C,2.568,0.9,iJR904,2,"['RPE', 'TKT1']"
13,0.74006,3.84645,C,6.405,0.8,iJR904,2,"['G6PDH2r', 'TPI']"
14,0.66986,5.37864,C,5.797,0.7,iJR904,2,"['ENO', 'HEX1']"
15,0.55317,12.17709,C,3.983,0.6,iJR904,2,"['FUM', 'ICDHyr']"
16,0.46097,13.41737,C,5.246,0.5,iJR904,2,"['CS', 'TALA']"
17,0.36878,14.7339,C,6.459,0.4,iJR904,2,"['CS', 'TALA']"
18,0.27658,20.50494,C,0.823,0.3,iJR904,2,"['FRD2', 'ICDHyr']"
19,0.18439,22.87756,C,0.709,0.2,iJR904,2,"['ICDHyr', 'LDH_D']"
20,0.09219,25.18529,C,0.702,0.1,iJR904,2,"['ICDHyr', 'MDH2']"
21,-0.0,27.49287,C,0.236,1.4e-16,iJR904,2,"['CS', 'MDH']"
22,0.92195,0.0,P,0.135,1.0,iJR904,2,"['ACALD', 'FRD2']"
23,0.83255,1.90413,P,1.151,0.9,iJR904,2,"['PGI', 'TKT1']"
24,0.74006,3.84645,P,1.686,0.8,iJR904,2,"['PGL', 'TPI']"
25,0.66986,5.37864,P,2.144,0.7,iJR904,2,"['HEX1', 'PGM']"
26,0.55317,11.96504,P,1.434,0.6,iJR904,2,"['ACKr', 'ICDHyr']"
27,0.53219,8.38375,P,2.292,0.5,iJR904,2,"['PGK', 'PGL']"
28,0.53219,8.38375,P,2.104,0.4,iJR904,2,"['GAPD', 'PGL']"
29,0.53219,8.38375,P,2.16,0.3,iJR904,2,"['G6PDH2r', 'PGK']"
30,0.53219,8.38375,P,2.126,0.2,iJR904,2,"['PGK', 'PGL']"
31,0.53219,8.38375,P,2.387,0.1,iJR904,2,"['G6PDH2r', 'PGK']"
32,0.53219,8.38375,P,3.715,1.4e-16,iJR904,2,"['GAPD', 'PGL']"
0,0.88557,6e-05,M,2.326,1.0,iAF1260,3,"['GLCabcpp', 'PFL', 'PYK']"
1,0.79701,2.33059,M,10.867,0.9,iAF1260,3,"['ALCD2x', 'TKT1', 'TKT2']"
2,0.70846,3.94948,M,11.082,0.8,iAF1260,3,"['ACKr', 'TKT2', 'TALA']"
3,0.6199,5.55427,M,5.85,0.7,iAF1260,3,"['ALCD2x', 'TKT1', 'TKT2']"
4,0.53134,7.1579,M,7.526,0.6,iAF1260,3,"['ACKr', 'GND', 'TKT2']"
